id,link,content,date,retweets,favorites,mentions,hashtags,geo
233651813679779840,https://twitter.com/realDonaldTrump/status/233651813679779840,"Waste. With 22 new taxes & $1.8T in added debt, @ BarackObama's disgraceful 'ObamaCare' will still leave 30M uninsuredhttp://bit.ly/Mze3Dw",2012-08-09 21:51:48,163,32,@,,
233653699292049409,https://twitter.com/realDonaldTrump/status/233653699292049409,"A review of @ MikeTyson's show, great press on Trump International Golf Links Scotland, and more in today's # trumpvlog-http://youtu.be/2XaJljKrjv8?hd=1 …",2012-08-09 21:59:17,12,3,@,#,
233654076364177408,https://twitter.com/realDonaldTrump/status/233654076364177408,. @ MikeTyson and @ SpikeLee I gave a great review of your show in my # trumpvloghttp://youtu.be/2XaJljKrjv8?hd=1 …,2012-08-09 22:00:47,44,15,@ @,#,
233667740135718912,https://twitter.com/realDonaldTrump/status/233667740135718912,. @ PapaJohns CEO John Schnatte has told shareholders that ObamaCare will force him to raise pizza prices http://politi.co/TcFVSL REPEAL!,2012-08-09 22:55:05,232,65,@,,
233668717542776833,https://twitter.com/realDonaldTrump/status/233668717542776833,"Received a beautiful letter from Joe Paterno's son, Jay. He really loved and respected his father.",2012-08-09 22:58:58,177,176,,,
233669365130743808,https://twitter.com/realDonaldTrump/status/233669365130743808,The Penn State Board should resign based on the grossly incompetent way they handled the NCAA. They gave away (cont) http://tl.gd/iop62l,2012-08-09 23:01:32,292,57,,,
233915014099132416,https://twitter.com/realDonaldTrump/status/233915014099132416,All recent Presidents have released their transcripts. What is @ BarackObama hiding?,2012-08-10 15:17:39,355,99,@,,
233924399680589824,https://twitter.com/realDonaldTrump/status/233924399680589824,China is cooking up conspiracy theories that the Olympics are rigged. http://wapo.st/MClZtE They don't understand why they can't cheat.,2012-08-10 15:54:57,326,93,,,
233930793154650113,https://twitter.com/realDonaldTrump/status/233930793154650113,The failing New York Daily News knowingly incorrectly reported that I wanted to speak at the Republican National Convention--wrong!,2012-08-10 16:20:21,51,18,,,
233931230930944000,https://twitter.com/realDonaldTrump/status/233931230930944000,"As we told the @ nydailynews, I was asked to speak at the RNC but said no, because I will be doing something much bigger--just watch!",2012-08-10 16:22:06,68,16,@,,
233932005832790016,https://twitter.com/realDonaldTrump/status/233932005832790016,"I will be speaking the night before the RNC in Sarasota, FL, when I receive the ""Statesman of the Year"" award.",2012-08-10 16:25:11,48,13,,,
